"","Borough","XCoord","YCoord"
"537","BK",980884,174139
"538","BK",1003570,174260
"539","BK",1001192,188772
"540","BK",1015774,172368
"541","BK",982675,170011
"542","BK",990129,156791
"543","BK",1011862,163135
"544","BK",996222,207505
"545","BK",1000560,157500
"546","BK",990145,181345
"547","BK",984121,162283
"548","BK",986190,181550
"549","BK",1016748,184840
"550","BK",976955,170383
"551","BK",984667,149296
"552","BK",1012435,179890
"553","BK",1007986,195398
"554","BK",1009629,186595
"555","BK",1010121,182625
"556","BK",999679,154253
"557","BK",989056,156218
"558","BK",1011686,163186
"559","BK",1003985,156111
"560","BK",989829,167714
"561","BK",1016562,184580
"562","BK",989782,171415
"563","BK",1007495,194719
"564","BK",992989,188755
"565","BK",980930,160674
"566","BK",1010821,173557
"567","BK",1003774,161182
"568","BK",986795,183473
"569","BK",1015358,180232
"570","BK",1003677,195258
"571","BK",984284,187663
"572","BK",987505,181790
"573","BK",1011224,182225
"574","BK",989572,171937
"575","BK",991578,166930
"576","BK",995838,200756
"577","BK",983489,150133
"578","BK",1015480,172151
"579","BK",994450,184571
"580","BK",989498,174032
"581","BK",986770,155691
"582","BK",994775,157756
"583","BK",979047,168216
"584","BK",1010893,178168
"585","BK",988960,183204
"586","BK",995834,150752
"587","BK",987928,165994
"588","BK",1002118,196148
"589","BK",1001702,152402
"590","BK",1013110,174666
"591","BK",989230,155719
"592","BK",1002500,155166
"593","BK",989016,183912
"594","BK",1008559,169708
"595","BK",979728,159516
"596","BK",985146,161671
"597","BK",1017847,187606
"598","BK",1000929,183395
"599","BK",985655,191724
"600","BK",999678,181155
"601","BK",1007532,189344
"602","BK",984518,169063
"603","BK",983238,160047
"604","BK",990279,166694
"605","BK",982068,166616
"606","BK",1007776,171154
"607","BK",998855,169621
"608","BK",1006688,175490
"609","BK",990051,181405
"610","BK",999473,154456
"611","BK",996534,195976
"612","BK",1004000,160760
"613","BK",998335,157823
"614","BK",996220,173227
"615","BK",995286,196340
"616","BK",976302,166642
"617","BK",986704,162277
"618","BK",1015042,169310
"619","BK",1000519,183562
"620","BK",1000826,197160
"621","BK",1000153,187249
"622","BK",987850,156467
"623","BK",1001879,183192
"624","BK",1002414,189228
"625","BK",995050,158582
"626","BK",1002132,167359
"627","BK",1000981,170089
"628","BK",999039,159384
"629","BK",1009735,164377
"630","BK",988459,180569
"631","BK",987878,188871
"632","BK",1003685,179695
"633","BK",989486,178748
"634","BK",1015670,181348
"635","BK",987828,189663
"636","BK",1001278,174094
"637","BK",994210,150136
"638","BK",1006896,167720
"639","BK",1000079,155128
"640","BK",1007111,192290
"641","BK",1010754,169874
"642","BK",989142,167058
"643","BK",999520,192172
"644","BK",987855,152864
"645","BK",991034,161881
"646","BK",991596,189985
"647","BK",1003710,173781
"648","BK",1001181,177932
"649","BK",1018628,184746
"650","BK",999355,194496
"651","BK",978888,164311
"652","BK",1020452,185409
"653","BK",992287,158400
"654","BK",1012121,164312
"655","BK",1020279,187362
"656","BK",1006628,186479
"657","BK",985309,171962
"658","BK",1000381,166740
"659","BK",1017493,187010
"660","BK",1017873,186554
